id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
31 March 2022 - 02:47 AM-5.9500-127.2700-3.0,31 March 2022 - 02:47 AM,5.95,127.27,134,3.0,152  km S 37° E of Tarragona (Davao Oriental),March,2022
31 March 2022 - 01:37 AM-13.5900-120.6300-1.7,31 March 2022 - 01:37 AM,13.59,120.63,7,1.7,019  km N 32° W of Abra De Ilog (Occidental Mindoro),March,2022
31 March 2022 - 01:04 AM-10.3600-125.2000-3.6,31 March 2022 - 01:04 AM,10.36,125.2,1,3.6,004  km S 03° W of Hinunangan (Southern Leyte),March,2022
31 March 2022 - 12:44 AM-8.7700-126.3600-2.7,31 March 2022 - 12:44 AM,8.77,126.36,40,2.7,007  km S 66° E of Marihatag (Surigao Del Sur),March,2022
31 March 2022 - 12:42 AM-14.0100-119.2100-2.5,31 March 2022 - 12:42 AM,14.01,119.21,33,2.5,100  km N 80° W of Lubang (Occidental Mindoro),March,2022
31 March 2022 - 12:32 AM-14.2500-119.0500-2.1,31 March 2022 - 12:32 AM,14.25,119.05,23,2.1,123  km N 69° W of Lubang (Occidental Mindoro),March,2022
31 March 2022 - 12:31 AM-14.2200-119.1000-2.6,31 March 2022 - 12:31 AM,14.22,119.1,32,2.6,118  km N 70° W of Lubang (Occidental Mindoro),March,2022
31 March 2022 - 12:28 AM-6.5000-126.7200-3.0,31 March 2022 - 12:28 AM,6.5,126.72,2,3.0,068  km S 26° E of Tarragona (Davao Oriental),March,2022
31 March 2022 - 12:19 AM-9.1500-126.7200-2.9,31 March 2022 - 12:19 AM,9.15,126.72,12,2.9,052  km N 67° E of Bayabas (Surigao Del Sur),March,2022
31 March 2022 - 12:10 AM-8.6100-125.8000-1.8,31 March 2022 - 12:10 AM,8.61,125.8,29,1.8,013  km N 83° W of Prosperidad (Agusan Del Sur),March,2022
30 March 2022 - 11:37 PM-15.4800-119.8900-2.5,30 March 2022 - 11:37 PM,15.48,119.89,26,2.5,005  km N 28° W of Palauig (Zambales),March,2022
30 March 2022 - 11:30 PM-6.1600-124.1800-2.3,30 March 2022 - 11:30 PM,6.16,124.18,26,2.3,006  km S 06° W of Palimbang (Sultan Kudarat),March,2022
30 March 2022 - 11:15 PM-14.2800-119.1900-2.2,30 March 2022 - 11:15 PM,14.28,119.19,33,2.2,111  km N 65° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 11:13 PM-18.1200-120.9000-2.0,30 March 2022 - 11:13 PM,18.12,120.9,11,2.0,009  km S 77° E of Carasi (Ilocos Norte),March,2022
30 March 2022 - 09:59 PM-14.2100-119.1800-2.9,30 March 2022 - 09:59 PM,14.21,119.18,27,2.9,109  km N 69° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 09:59 PM-8.4300-122.6500-2.0,30 March 2022 - 09:59 PM,8.43,122.65,29,2.0,035  km N 05° W of Liloy (Zamboanga Del Norte),March,2022
30 March 2022 - 09:43 PM-14.1900-119.1700-2.3,30 March 2022 - 09:43 PM,14.19,119.17,19,2.3,110  km N 70° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 09:39 PM-14.0800-120.5100-1.8,30 March 2022 - 09:39 PM,14.08,120.51,102,1.8,014  km N 90° W of Nasugbu (Batangas),March,2022
30 March 2022 - 08:46 PM-13.7000-120.6600-2.0,30 March 2022 - 08:46 PM,13.7,120.66,116,2.0,015  km S 10° E of Calatagan (Batangas),March,2022
30 March 2022 - 08:44 PM-14.1700-119.1700-2.3,30 March 2022 - 08:44 PM,14.17,119.17,29,2.3,109  km N 72° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 08:40 PM-14.2100-119.1900-2.2,30 March 2022 - 08:40 PM,14.21,119.19,29,2.2,107  km N 69° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 08:05 PM-8.6500-126.6700-2.2,30 March 2022 - 08:05 PM,8.65,126.67,8,2.2,044  km S 67° E of Marihatag (Surigao Del Sur),March,2022
30 March 2022 - 07:37 PM-14.8300-122.6500-1.9,30 March 2022 - 07:37 PM,14.83,122.65,28,1.9,037  km N 67° E of Jomalig (Quezon),March,2022
30 March 2022 - 07:37 PM-13.0900-120.8600-1.6,30 March 2022 - 07:37 PM,13.09,120.86,34,1.6,015  km N 86° E of Santa Cruz (Occidental Mindoro),March,2022
30 March 2022 - 06:37 PM-14.2100-119.2500-2.7,30 March 2022 - 06:37 PM,14.21,119.25,18,2.7,102  km N 68° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 06:26 PM-11.9800-124.0500-2.6,30 March 2022 - 06:26 PM,11.98,124.05,4,2.6,007  km S 66° E of Cataingan (Masbate),March,2022
30 March 2022 - 05:42 PM-14.9900-119.9700-1.8,30 March 2022 - 05:42 PM,14.99,119.97,31,1.8,013  km S 55° W of San Felipe (Zambales),March,2022
30 March 2022 - 05:19 PM-7.5900-124.4900-2.6,30 March 2022 - 05:19 PM,7.59,124.49,7,2.6,026  km S 78° W of Wao (Lanao Del Sur),March,2022
30 March 2022 - 04:04 PM-13.4000-120.0700-2.2,30 March 2022 - 04:04 PM,13.4,120.07,23,2.2,043  km S 87° W of Paluan (Occidental Mindoro),March,2022
30 March 2022 - 03:23 PM-6.6700-124.9600-3.7,30 March 2022 - 03:23 PM,6.67,124.96,4,3.7,002  km S 08° W of Columbio (Sultan Kudarat),March,2022
30 March 2022 - 12:42 PM-3.9000-126.4000-3.7,30 March 2022 - 12:42 PM,3.9,126.4,224,3.7,200  km S 33° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),March,2022
30 March 2022 - 12:36 PM-3.6600-126.1500-3.8,30 March 2022 - 12:36 PM,3.66,126.15,196,3.8,210  km S 23° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),March,2022
30 March 2022 - 10:03 AM-11.2700-122.3200-2.7,30 March 2022 - 10:03 AM,11.27,122.32,11,2.7,024  km N 89° W of Tapaz (Capiz),March,2022
30 March 2022 - 09:51 AM-13.5400-120.3900-1.8,30 March 2022 - 09:51 AM,13.54,120.39,23,1.8,025  km S 38° E of Looc (Occidental Mindoro),March,2022
30 March 2022 - 08:27 AM-8.2000-127.3300-2.4,30 March 2022 - 08:27 AM,8.2,127.33,21,2.4,102  km N 80° E of Lingig (Surigao Del Sur),March,2022
30 March 2022 - 07:15 AM-9.5500-126.3700-2.7,30 March 2022 - 07:15 AM,9.55,126.37,6,2.7,034  km S 42° E of General Luna (Surigao Del Norte),March,2022
30 March 2022 - 05:13 AM-6.1400-126.2300-3.0,30 March 2022 - 05:13 AM,6.14,126.23,145,3.0,069  km N 69° E of Jose Abad Santos (Davao Occidental),March,2022
30 March 2022 - 04:35 AM-9.9700-122.6400-1.7,30 March 2022 - 04:35 AM,9.97,122.64,26,1.7,002  km East of Cauayan (Negros Occidental),March,2022
30 March 2022 - 04:18 AM-13.8500-119.3100-3.0,30 March 2022 - 04:18 AM,13.85,119.31,27,3.0,088  km S 90° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 04:14 AM-2.9400-125.8600-4.1,30 March 2022 - 04:14 AM,2.94,125.86,154,4.1,278  km S 10° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),March,2022
30 March 2022 - 03:44 AM-15.1000-119.9500-2.4,30 March 2022 - 03:44 AM,15.1,119.95,9,2.4,014  km S 58° W of Cabangan (Zambales),March,2022
30 March 2022 - 03:24 AM-9.2900-126.4700-3.4,30 March 2022 - 03:24 AM,9.29,126.47,13,3.4,031  km N 87° E of Cortes (Surigao Del Sur),March,2022
30 March 2022 - 03:15 AM-15.0500-119.7900-2.1,30 March 2022 - 03:15 AM,15.05,119.79,7,2.1,031  km S 66° W of Cabangan (Zambales),March,2022
30 March 2022 - 03:13 AM-9.1000-126.3400-3.2,30 March 2022 - 03:13 AM,9.1,126.34,26,3.2,016  km N 24° E of Bayabas (Surigao Del Sur),March,2022
30 March 2022 - 03:07 AM-15.0800-119.9600-2.3,30 March 2022 - 03:07 AM,15.08,119.96,9,2.3,012  km N 79° W of San Felipe (Zambales),March,2022
30 March 2022 - 02:58 AM-15.1300-119.9400-2.0,30 March 2022 - 02:58 AM,15.13,119.94,21,2.0,012  km S 76° W of Cabangan (Zambales),March,2022
30 March 2022 - 02:55 AM-15.0500-119.6000-5.0,30 March 2022 - 02:55 AM,15.05,119.6,10,5.0,051  km S 76° W of Cabangan (Zambales),March,2022
30 March 2022 - 02:46 AM-15.0700-119.8300-2.7,30 March 2022 - 02:46 AM,15.07,119.83,9,2.7,026  km S 67° W of Cabangan (Zambales),March,2022
30 March 2022 - 02:28 AM-4.5300-124.3200-2.6,30 March 2022 - 02:28 AM,4.53,124.32,30,2.6,156  km S 51° W of Balut Island (Municipality Of Sarangani) (Davao Occidental),March,2022
30 March 2022 - 02:27 AM-15.0600-119.7400-2.4,30 March 2022 - 02:27 AM,15.06,119.74,16,2.4,036  km S 73° W of Cabangan (Zambales),March,2022
30 March 2022 - 02:26 AM-15.0800-119.7500-3.6,30 March 2022 - 02:26 AM,15.08,119.75,7,3.6,034  km S 75° W of Cabangan (Zambales),March,2022
30 March 2022 - 02:24 AM-14.8900-119.5400-3.2,30 March 2022 - 02:24 AM,14.89,119.54,25,3.2,059  km S 84° W of San Antonio (Zambales),March,2022
30 March 2022 - 12:27 AM-14.1200-119.0900-5.0,30 March 2022 - 12:27 AM,14.12,119.09,33,5.0,115  km N 76° W of Lubang (Occidental Mindoro),March,2022
30 March 2022 - 12:07 AM-10.4700-122.4700-2.5,30 March 2022 - 12:07 AM,10.47,122.47,1,2.5,010  km S 50° W of Nueva Valencia (Guimaras),March,2022
30 March 2022 - 12:01 AM-8.6000-125.7900-2.5,30 March 2022 - 12:01 AM,8.6,125.79,23,2.5,018  km S 60° E of Esperanza (Agusan Del Sur),March,2022
29 March 2022 - 11:43 PM-14.2700-119.0900-2.7,29 March 2022 - 11:43 PM,14.27,119.09,28,2.7,121  km N 68° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 11:41 PM-16.8200-122.3900-2.2,29 March 2022 - 11:41 PM,16.82,122.39,18,2.2,027  km S 09° W of Palanan (Isabela),March,2022
29 March 2022 - 10:42 PM-14.0100-119.3400-2.6,29 March 2022 - 10:42 PM,14.01,119.34,21,2.6,086  km N 79° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 08:52 PM-13.2800-125.7600-4.0,29 March 2022 - 08:52 PM,13.28,125.76,34,4.0,104  km N 32° E of Mapanas (Northern Samar),March,2022
29 March 2022 - 08:51 PM-13.4600-121.8300-2.1,29 March 2022 - 08:51 PM,13.46,121.83,58,2.1,002  km N 26° W of Boac (Marinduque),March,2022
29 March 2022 - 08:36 PM-7.1100-124.1400-2.1,29 March 2022 - 08:36 PM,7.11,124.14,8,2.1,011  km N 13° W of Upi (Maguindanao),March,2022
29 March 2022 - 08:18 PM-8.2100-125.7700-1.9,29 March 2022 - 08:18 PM,8.21,125.77,35,1.9,010  km N 71° W of Loreto (Agusan Del Sur),March,2022
29 March 2022 - 08:02 PM-14.0200-119.4000-2.1,29 March 2022 - 08:02 PM,14.02,119.4,27,2.1,080  km N 77° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 06:43 PM-14.3300-119.3600-2.2,29 March 2022 - 06:43 PM,14.33,119.36,15,2.2,097  km N 59° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 05:36 PM-13.8100-120.5300-2.4,29 March 2022 - 05:36 PM,13.81,120.53,72,2.4,012  km S 76° W of Calatagan (Batangas),March,2022
29 March 2022 - 11:19 AM-16.3200-122.4800-2.7,29 March 2022 - 11:19 AM,16.32,122.48,25,2.7,030  km S 75° E of Dilasag (Aurora),March,2022
29 March 2022 - 06:44 AM-12.4500-123.6700-1.8,29 March 2022 - 06:44 AM,12.45,123.67,46,1.8,010  km N 30° E of City Of Masbate (Masbate),March,2022
29 March 2022 - 06:13 AM-14.0900-119.1500-2.0,29 March 2022 - 06:13 AM,14.09,119.15,28,2.0,109  km N 77° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 05:54 AM-12.3700-123.7500-1.8,29 March 2022 - 05:54 AM,12.37,123.75,24,1.8,006  km S 34° W of Batuan (Masbate),March,2022
29 March 2022 - 05:49 AM-14.2400-119.1800-2.5,29 March 2022 - 05:49 AM,14.24,119.18,30,2.5,111  km N 67° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 05:07 AM-14.3200-124.1000-1.9,29 March 2022 - 05:07 AM,14.32,124.1,21,1.9,031  km N 14° W of Pandan (Catanduanes),March,2022
29 March 2022 - 05:02 AM-14.2500-119.1500-1.8,29 March 2022 - 05:02 AM,14.25,119.15,23,1.8,113  km N 68° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 05:01 AM-12.3600-123.6300-2.1,29 March 2022 - 05:01 AM,12.36,123.63,46,2.1,002  km S 53° E of City Of Masbate (Masbate),March,2022
29 March 2022 - 04:25 AM-14.2800-119.1000-2.5,29 March 2022 - 04:25 AM,14.28,119.1,32,2.5,119  km N 67° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 03:43 AM-14.2800-119.0900-3.1,29 March 2022 - 03:43 AM,14.28,119.09,31,3.1,121  km N 67° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 03:14 AM-14.3600-119.1100-2.0,29 March 2022 - 03:14 AM,14.36,119.11,33,2.0,122  km N 63° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 03:13 AM-14.2400-118.9800-1.7,29 March 2022 - 03:13 AM,14.24,118.98,37,1.7,131  km N 71° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 01:25 AM-8.7100-126.4600-4.1,29 March 2022 - 01:25 AM,8.71,126.46,38,4.1,020  km S 61° E of Marihatag (Surigao Del Sur),March,2022
29 March 2022 - 12:57 AM-14.2000-119.4000-2.2,29 March 2022 - 12:57 AM,14.2,119.4,1,2.2,086  km N 64° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 12:48 AM-12.8300-122.2700-2.1,29 March 2022 - 12:48 AM,12.83,122.27,4,2.1,028  km N 01° E of Romblon (Romblon),March,2022
29 March 2022 - 12:44 AM-14.3400-119.1000-2.0,29 March 2022 - 12:44 AM,14.34,119.1,27,2.0,122  km N 64° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 12:40 AM-14.2700-119.1100-3.0,29 March 2022 - 12:40 AM,14.27,119.11,33,3.0,118  km N 68° W of Lubang (Occidental Mindoro),March,2022
29 March 2022 - 12:22 AM-7.8300-126.0100-1.7,29 March 2022 - 12:22 AM,7.83,126.01,33,1.7,005  km N 78° W of Monkayo (Davao De Oro),March,2022
28 March 2022 - 10:48 PM-8.3800-125.9000-3.7,28 March 2022 - 10:48 PM,8.38,125.9,7,3.7,011  km S 88° W of Rosario (Agusan Del Sur),March,2022
28 March 2022 - 10:43 PM-8.9200-126.5200-2.3,28 March 2022 - 10:43 PM,8.92,126.52,14,2.3,024  km N 89° E of Cagwait (Surigao Del Sur),March,2022
28 March 2022 - 10:37 PM-14.2200-119.2600-2.8,28 March 2022 - 10:37 PM,14.22,119.26,14,2.8,102  km N 67° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 10:23 PM-14.0600-119.1300-2.9,28 March 2022 - 10:23 PM,14.06,119.13,29,2.9,109  km N 78° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 10:14 PM-14.2100-119.3100-2.4,28 March 2022 - 10:14 PM,14.21,119.31,16,2.4,096  km N 66° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 09:43 PM-11.2800-124.6200-2.8,28 March 2022 - 09:43 PM,11.28,124.62,3,2.8,004  km S 60° W of Capoocan (Leyte),March,2022
28 March 2022 - 08:54 PM-20.5000-121.1000-3.6,28 March 2022 - 08:54 PM,20.5,121.1,16,3.6,083  km S 68° W of Itbayat (Batanes),March,2022
28 March 2022 - 08:20 PM-13.7600-120.5500-3.6,28 March 2022 - 08:20 PM,13.76,120.55,103,3.6,012  km S 46° W of Calatagan (Batangas),March,2022
28 March 2022 - 07:57 PM-21.1500-122.1900-3.9,28 March 2022 - 07:57 PM,21.15,122.19,140,3.9,054  km N 42° E of Itbayat (Batanes),March,2022
28 March 2022 - 07:10 PM-18.1600-120.6800-4.0,28 March 2022 - 07:10 PM,18.16,120.68,15,4.0,012  km S 38° E of Bacarra (Ilocos Norte),March,2022
28 March 2022 - 07:05 PM-7.8400-122.8300-1.6,28 March 2022 - 07:05 PM,7.84,122.83,33,1.6,010  km N 65° E of Kabasalan (Zamboanga Sibugay),March,2022
28 March 2022 - 06:19 PM-15.3800-119.1800-2.6,28 March 2022 - 06:19 PM,15.38,119.18,21,2.6,078  km S 85° W of Palauig (Zambales),March,2022
28 March 2022 - 05:38 PM-12.9400-124.8100-2.5,28 March 2022 - 05:38 PM,12.94,124.81,23,2.5,044  km N 17° W of Pambujan (Northern Samar),March,2022
28 March 2022 - 03:24 PM-13.6100-120.5700-2.0,28 March 2022 - 03:24 PM,13.61,120.57,113,2.0,025  km S 15° W of Calatagan (Batangas),March,2022
28 March 2022 - 12:20 PM-9.9600-126.2200-2.8,28 March 2022 - 12:20 PM,9.96,126.22,1,2.8,017  km S 69° E of Burgos (Surigao Del Norte),March,2022
28 March 2022 - 12:01 PM-9.8400-126.2700-2.7,28 March 2022 - 12:01 PM,9.84,126.27,21,2.7,014  km N 64° E of General Luna (Surigao Del Norte),March,2022
28 March 2022 - 11:45 AM-9.5600-125.9100-2.5,28 March 2022 - 11:45 AM,9.56,125.91,90,2.5,009  km S 44° W of Socorro (Surigao Del Norte),March,2022
28 March 2022 - 11:36 AM-14.2900-119.2900-2.8,28 March 2022 - 11:36 AM,14.29,119.29,23,2.8,102  km N 62° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 11:09 AM-16.4700-121.0300-2.5,28 March 2022 - 11:09 AM,16.47,121.03,35,2.5,006  km S 06° E of Ambaguio (Nueva Vizcaya),March,2022
28 March 2022 - 10:33 AM-16.5300-120.6300-1.5,28 March 2022 - 10:33 AM,16.53,120.63,5,1.5,006  km N 04° W of Tublay (Benguet),March,2022
28 March 2022 - 09:39 AM-5.9200-124.5400-2.4,28 March 2022 - 09:39 AM,5.92,124.54,21,2.4,012  km S 47° W of Kiamba (Sarangani),March,2022
28 March 2022 - 09:37 AM-14.2200-119.5600-2.4,28 March 2022 - 09:37 AM,14.22,119.56,1,2.4,073  km N 57° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 08:38 AM-13.8600-120.5400-1.5,28 March 2022 - 08:38 AM,13.86,120.54,81,1.5,011  km N 72° W of Calatagan (Batangas),March,2022
28 March 2022 - 07:17 AM-7.6700-122.2000-2.1,28 March 2022 - 07:17 AM,7.67,122.2,10,2.1,008  km S 60° E of Siocon (Zamboanga Del Norte),March,2022
28 March 2022 - 07:15 AM-14.2000-119.1600-2.3,28 March 2022 - 07:15 AM,14.2,119.16,29,2.3,111  km N 70° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 06:59 AM-14.1800-119.1200-2.2,28 March 2022 - 06:59 AM,14.18,119.12,35,2.2,114  km N 72° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 06:42 AM-10.3100-126.3200-2.6,28 March 2022 - 06:42 AM,10.31,126.32,1,2.6,032  km N 37° E of Burgos (Surigao Del Norte),March,2022
28 March 2022 - 05:56 AM-13.9700-119.3300-2.4,28 March 2022 - 05:56 AM,13.97,119.33,24,2.4,086  km N 82° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 05:26 AM-9.9300-124.2600-2.1,28 March 2022 - 05:26 AM,9.93,124.26,4,2.1,005  km S 71° E of Danao (Bohol),March,2022
28 March 2022 - 05:22 AM-13.6700-120.6100-1.6,28 March 2022 - 05:22 AM,13.67,120.61,123,1.6,018  km S 07° W of Calatagan (Batangas),March,2022
28 March 2022 - 04:41 AM-14.2700-119.2200-2.0,28 March 2022 - 04:41 AM,14.27,119.22,15,2.0,108  km N 65° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 04:33 AM-13.6000-120.6200-1.5,28 March 2022 - 04:33 AM,13.6,120.62,119,1.5,021  km N 35° W of Abra De Ilog (Occidental Mindoro),March,2022
28 March 2022 - 04:21 AM-13.3000-120.7500-1.8,28 March 2022 - 04:21 AM,13.3,120.75,26,1.8,013  km S 17° E of Abra De Ilog (Occidental Mindoro),March,2022
28 March 2022 - 04:19 AM-10.0400-126.2400-3.4,28 March 2022 - 04:19 AM,10.04,126.24,1,3.4,018  km N 81° E of Burgos (Surigao Del Norte),March,2022
28 March 2022 - 04:18 AM-15.5100-120.0900-1.8,28 March 2022 - 04:18 AM,15.51,120.09,29,1.8,014  km S 82° E of Masinloc (Zambales),March,2022
28 March 2022 - 04:17 AM-10.3000-126.4800-3.1,28 March 2022 - 04:17 AM,10.3,126.48,1,3.1,054  km N 55° E of Burgos (Surigao Del Norte),March,2022
28 March 2022 - 03:59 AM-16.5200-121.0200-2.4,28 March 2022 - 03:59 AM,16.52,121.02,5,2.4,002  km S 44° W of Ambaguio (Nueva Vizcaya),March,2022
28 March 2022 - 03:52 AM-14.1600-119.3800-2.0,28 March 2022 - 03:52 AM,14.16,119.38,17,2.0,087  km N 68° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 03:49 AM-20.0000-121.0800-2.9,28 March 2022 - 03:49 AM,20.0,121.08,60,2.9,091  km S 66° W of Sabtang (Batanes),March,2022
28 March 2022 - 03:47 AM-16.8200-120.4300-2.5,28 March 2022 - 03:47 AM,16.82,120.43,5,2.5,006  km S 59° E of Luna (La Union),March,2022
28 March 2022 - 03:40 AM-14.1500-119.1100-2.8,28 March 2022 - 03:40 AM,14.15,119.11,34,2.8,113  km N 74° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 03:26 AM-10.2200-126.4400-3.3,28 March 2022 - 03:26 AM,10.22,126.44,1,3.3,046  km N 61° E of Burgos (Surigao Del Norte),March,2022
28 March 2022 - 02:48 AM-13.3600-120.4800-2.5,28 March 2022 - 02:48 AM,13.36,120.48,33,2.5,006  km S 18° E of Paluan (Occidental Mindoro),March,2022
28 March 2022 - 02:48 AM-11.5200-125.7500-2.4,28 March 2022 - 02:48 AM,11.52,125.75,14,2.4,024  km N 37° E of Hernani (Eastern Samar),March,2022
28 March 2022 - 02:48 AM-16.9400-120.0100-2.7,28 March 2022 - 02:48 AM,16.94,120.01,37,2.7,040  km N 76° W of Luna (La Union),March,2022
28 March 2022 - 02:33 AM-14.2300-119.4300-2.4,28 March 2022 - 02:33 AM,14.23,119.43,1,2.4,085  km N 61° W of Lubang (Occidental Mindoro),March,2022
28 March 2022 - 01:52 AM-2.8400-126.3500-4.0,28 March 2022 - 01:52 AM,2.84,126.35,93,4.0,297  km S 22° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),March,2022
28 March 2022 - 12:26 AM-8.9700-126.4400-3.1,28 March 2022 - 12:26 AM,8.97,126.44,21,3.1,016  km N 69° E of Cagwait (Surigao Del Sur),March,2022
28 March 2022 - 12:23 AM-14.0600-119.4500-2.2,28 March 2022 - 12:23 AM,14.06,119.45,1,2.2,076  km N 73° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 11:53 PM-18.3600-120.9900-1.7,27 March 2022 - 11:53 PM,18.36,120.99,5,1.7,015  km S 38° E of Adams (Ilocos Norte),March,2022
27 March 2022 - 11:37 PM-14.3000-119.2000-2.5,27 March 2022 - 11:37 PM,14.3,119.2,19,2.5,111  km N 64° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 11:22 PM-13.7700-120.5500-1.8,27 March 2022 - 11:22 PM,13.77,120.55,92,1.8,011  km S 49° W of Calatagan (Batangas),March,2022
27 March 2022 - 11:21 PM-10.0900-125.9200-2.5,27 March 2022 - 11:21 PM,10.09,125.92,19,2.5,015  km N 60° W of Santa Monica (Surigao Del Norte),March,2022
27 March 2022 - 11:20 PM-13.1900-125.4100-2.4,27 March 2022 - 11:20 PM,13.19,125.41,1,2.4,078  km N 25° E of Palapag (Northern Samar),March,2022
27 March 2022 - 10:52 PM-13.4900-120.0500-3.1,27 March 2022 - 10:52 PM,13.49,120.05,18,3.1,033  km S 40° W of Looc (Occidental Mindoro),March,2022
27 March 2022 - 09:54 PM-9.9800-126.1500-2.6,27 March 2022 - 09:54 PM,9.98,126.15,1,2.6,009  km S 61° E of Burgos (Surigao Del Norte),March,2022
27 March 2022 - 09:22 PM-14.1500-119.2500-2.7,27 March 2022 - 09:22 PM,14.15,119.25,1,2.7,100  km N 71° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 09:17 PM-14.1700-119.6000-2.1,27 March 2022 - 09:17 PM,14.17,119.6,1,2.1,066  km N 59° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 08:54 PM-13.2700-124.8700-3.0,27 March 2022 - 08:54 PM,13.27,124.87,6,3.0,078  km N 71° E of Prieto Diaz (Sorsogon),March,2022
27 March 2022 - 07:52 PM-14.3300-119.2600-2.7,27 March 2022 - 07:52 PM,14.33,119.26,13,2.7,107  km N 61° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 07:06 PM-14.2800-119.1400-2.9,27 March 2022 - 07:06 PM,14.28,119.14,27,2.9,115  km N 66° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 06:19 PM-18.2600-121.5600-2.5,27 March 2022 - 06:19 PM,18.26,121.56,5,2.5,003  km N 09° E of Allacapan (Cagayan),March,2022
27 March 2022 - 06:09 PM-7.4900-124.3900-2.9,27 March 2022 - 06:09 PM,7.49,124.39,8,2.9,005  km N 62° E of Barira (Maguindanao),March,2022
27 March 2022 - 06:09 PM-14.0700-119.8600-2.1,27 March 2022 - 06:09 PM,14.07,119.86,5,2.1,037  km N 50° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 05:07 PM-7.1500-126.0000-2.0,27 March 2022 - 05:07 PM,7.15,126.0,30,2.0,012  km N 77° E of Pantukan (Davao De Oro),March,2022
27 March 2022 - 04:23 PM-18.3100-121.2100-2.1,27 March 2022 - 04:23 PM,18.31,121.21,35,2.1,015  km S 79° W of Luna (Apayao),March,2022
27 March 2022 - 03:09 PM-5.1300-124.3400-2.6,27 March 2022 - 03:09 PM,5.13,124.34,24,2.6,100  km S 19° W of Kiamba (Sarangani),March,2022
27 March 2022 - 03:06 PM-7.7800-126.6500-2.6,27 March 2022 - 03:06 PM,7.78,126.65,20,2.6,022  km S 88° E of Cateel (Davao Oriental),March,2022
27 March 2022 - 12:32 PM-14.3800-119.2800-2.5,27 March 2022 - 12:32 PM,14.38,119.28,16,2.5,107  km N 58° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 12:11 PM-6.0300-124.5800-2.8,27 March 2022 - 12:11 PM,6.03,124.58,14,2.8,007  km N 43° W of Kiamba (Sarangani),March,2022
27 March 2022 - 11:31 AM-9.7100-122.1200-2.5,27 March 2022 - 11:31 AM,9.71,122.12,29,2.5,036  km S 80° W of City Of Sipalay (Negros Occidental),March,2022
27 March 2022 - 10:06 AM-18.2200-120.4900-2.3,27 March 2022 - 10:06 AM,18.22,120.49,16,2.3,011  km N 77° W of City Of Laoag (Ilocos Norte),March,2022
27 March 2022 - 09:56 AM-19.3400-121.2400-3.1,27 March 2022 - 09:56 AM,19.34,121.24,1,3.1,026  km N 08° E of Dalupiri Island (Calayan) (Cagayan),March,2022
27 March 2022 - 09:20 AM-14.0500-119.2900-3.2,27 March 2022 - 09:20 AM,14.05,119.29,27,3.2,092  km N 77° W of Lubang (Occidental Mindoro),March,2022
27 March 2022 - 09:13 AM-14.3000-119.3300-2.8,27 March 2022 - 09:13 AM,14.3,119.33,21,2.8,099  km N 61° W of Lubang (Occidental Mindoro),March,2022
