id,datetime,latitude,longitude,depth_km,magnitude,location,month,year
30 January 2022 - 01:47 PM-8.8500-126.5600-2.9,30 January 2022 - 01:47 PM,8.85,126.56,23,2.9,029  km N 80° E of Marihatag (Surigao Del Sur),January,2022
30 January 2022 - 12:54 PM-10.5100-124.3400-1.6,30 January 2022 - 12:54 PM,10.51,124.34,8,1.6,016  km S 18° W of San Francisco (Cebu),January,2022
30 January 2022 - 12:46 PM-16.2700-120.5100-3.1,30 January 2022 - 12:46 PM,16.27,120.51,21,3.1,005  km N 24° E of Rosario (La Union),January,2022
30 January 2022 - 09:42 AM-11.3400-124.3000-2.3,30 January 2022 - 09:42 AM,11.34,124.3,19,2.3,009  km S 40° W of San Isidro (Leyte),January,2022
30 January 2022 - 09:35 AM-15.4000-118.3500-3.5,30 January 2022 - 09:35 AM,15.4,118.35,17,3.5,068  km N 67° E of Bajo De Masinloc (Masinloc) (Zambales),January,2022
30 January 2022 - 09:05 AM-2.9600-126.4900-4.1,30 January 2022 - 09:05 AM,2.96,126.49,157,4.1,296  km S 24° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
30 January 2022 - 08:38 AM-15.5100-118.4500-3.6,30 January 2022 - 08:38 AM,15.51,118.45,15,3.6,082  km N 58° E of Bajo De Masinloc (Masinloc) (Zambales),January,2022
30 January 2022 - 08:21 AM-15.4800-118.3500-3.2,30 January 2022 - 08:21 AM,15.48,118.35,27,3.2,072  km N 60° E of Bajo De Masinloc (Masinloc) (Zambales),January,2022
30 January 2022 - 08:17 AM-15.5000-118.4100-5.2,30 January 2022 - 08:17 AM,15.5,118.41,14,5.2,080  km N 61° E of Bajo De Masinloc (Masinloc) (Zambales),January,2022
30 January 2022 - 08:16 AM-7.8900-122.8700-1.9,30 January 2022 - 08:16 AM,7.89,122.87,30,1.9,013  km S 16° E of Godod (Zamboanga Del Norte),January,2022
30 January 2022 - 07:03 AM-6.6600-126.5700-2.9,30 January 2022 - 07:03 AM,6.66,126.57,28,2.9,045  km S 18° E of Tarragona (Davao Oriental),January,2022
30 January 2022 - 07:01 AM-7.9800-126.7800-2.2,30 January 2022 - 07:01 AM,7.98,126.78,30,2.2,041  km N 59° E of Cateel (Davao Oriental),January,2022
30 January 2022 - 04:46 AM-11.7500-124.2300-3.0,30 January 2022 - 04:46 AM,11.75,124.23,13,3.0,013  km S 78° W of Maripipi (Biliran),January,2022
30 January 2022 - 04:15 AM-6.8500-124.8700-2.5,30 January 2022 - 04:15 AM,6.85,124.87,13,2.5,002  km Nort° 00 of Tulunan (Cotabato),January,2022
30 January 2022 - 03:19 AM-9.1200-126.7000-2.8,30 January 2022 - 03:19 AM,9.12,126.7,9,2.8,049  km N 70° E of Bayabas (Surigao Del Sur),January,2022
30 January 2022 - 03:11 AM-8.7700-126.3600-2.5,30 January 2022 - 03:11 AM,8.77,126.36,26,2.5,007  km S 63° E of Marihatag (Surigao Del Sur),January,2022
30 January 2022 - 01:20 AM-15.5800-119.9900-1.6,30 January 2022 - 01:20 AM,15.58,119.99,31,1.6,007  km N 31° E of Masinloc (Zambales),January,2022
30 January 2022 - 12:49 AM-13.5900-120.6400-2.6,30 January 2022 - 12:49 AM,13.59,120.64,141,2.6,018  km N 29° W of Abra De Ilog (Occidental Mindoro),January,2022
30 January 2022 - 12:35 AM-13.0900-121.1400-1.9,30 January 2022 - 12:35 AM,13.09,121.14,43,1.9,018  km S 60° W of Victoria (Oriental Mindoro),January,2022
30 January 2022 - 12:01 AM-11.1200-124.6900-1.7,30 January 2022 - 12:01 AM,11.12,124.69,7,1.7,015  km N 39° E of Ormoc City (Leyte),January,2022
29 January 2022 - 11:43 PM-11.5300-124.4600-2.3,29 January 2022 - 11:43 PM,11.53,124.46,28,2.3,007  km N 13° W of Biliran (Biliran),January,2022
29 January 2022 - 11:37 PM-9.0800-126.2800-2.4,29 January 2022 - 11:37 PM,9.08,126.28,46,2.4,012  km N 02° W of Bayabas (Surigao Del Sur),January,2022
29 January 2022 - 10:50 PM-13.6200-122.9900-2.0,29 January 2022 - 10:50 PM,13.62,122.99,29,2.0,011  km N 72° W of Pamplona (Camarines Sur),January,2022
29 January 2022 - 10:46 PM-11.1500-124.2700-2.6,29 January 2022 - 10:46 PM,11.15,124.27,1,2.6,015  km S 62° W of Villaba (Leyte),January,2022
29 January 2022 - 10:36 PM-3.4500-126.2000-4.0,29 January 2022 - 10:36 PM,3.45,126.2,16,4.0,234  km S 22° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
29 January 2022 - 10:16 PM-10.6500-122.3400-2.8,29 January 2022 - 10:16 PM,10.65,122.34,19,2.8,002  km S 74° E of Guimbal (Iloilo),January,2022
29 January 2022 - 09:52 PM-18.1900-119.0900-2.3,29 January 2022 - 09:52 PM,18.19,119.09,53,2.3,149  km N 76° W of Sinait (Ilocos Sur),January,2022
29 January 2022 - 07:11 PM-16.1200-121.9500-1.8,29 January 2022 - 07:11 PM,16.12,121.95,31,1.8,003  km S 25° W of Dinalungan (Aurora),January,2022
29 January 2022 - 06:35 PM-16.9400-121.6100-2.8,29 January 2022 - 06:35 PM,16.94,121.61,11,2.8,006  km N 24° E of San Mateo (Isabela),January,2022
29 January 2022 - 05:54 PM-16.3900-122.2800-1.7,29 January 2022 - 05:54 PM,16.39,122.28,15,1.7,007  km S 87° E of Dilasag (Aurora),January,2022
29 January 2022 - 03:03 PM-7.1700-126.2500-2.5,29 January 2022 - 03:03 PM,7.17,126.25,26,2.5,024  km N 09° E of City Of Mati (Davao Oriental),January,2022
29 January 2022 - 01:34 PM-13.6800-120.6300-1.8,29 January 2022 - 01:34 PM,13.68,120.63,99,1.8,016  km S 01° W of Calatagan (Batangas),January,2022
29 January 2022 - 08:37 AM-12.8800-120.8600-2.5,29 January 2022 - 08:37 AM,12.88,120.86,17,2.5,010  km N 64° E of Sablayan (Occidental Mindoro),January,2022
29 January 2022 - 07:38 AM-16.9000-121.4700-2.6,29 January 2022 - 07:38 AM,16.9,121.47,9,2.6,012  km N 83° W of San Mateo (Isabela),January,2022
29 January 2022 - 06:56 AM-14.0400-120.4300-2.3,29 January 2022 - 06:56 AM,14.04,120.43,88,2.3,032  km N 44° W of Calatagan (Batangas),January,2022
29 January 2022 - 06:45 AM-15.3700-119.8800-1.8,29 January 2022 - 06:45 AM,15.37,119.88,30,1.8,008  km S 28° W of Palauig (Zambales),January,2022
29 January 2022 - 06:27 AM-8.6600-126.1200-2.5,29 January 2022 - 06:27 AM,8.66,126.12,6,2.5,004  km N 49° E of Lianga (Surigao Del Sur),January,2022
29 January 2022 - 05:33 AM-6.8400-124.9600-2.9,29 January 2022 - 05:33 AM,6.84,124.96,6,2.9,010  km N 86° E of Tulunan (Cotabato),January,2022
29 January 2022 - 05:24 AM-12.4000-120.1500-1.6,29 January 2022 - 05:24 AM,12.4,120.15,34,1.6,038  km N 38° E of Busuanga (Palawan),January,2022
29 January 2022 - 03:30 AM-8.5400-122.4600-2.0,29 January 2022 - 03:30 AM,8.54,122.46,32,2.0,053  km N 07° W of Labason (Zamboanga Del Norte),January,2022
29 January 2022 - 03:17 AM-7.6700-126.6400-3.1,29 January 2022 - 03:17 AM,7.67,126.64,35,3.1,014  km N 37° E of Baganga (Davao Oriental),January,2022
29 January 2022 - 03:02 AM-12.4600-125.5100-2.5,29 January 2022 - 03:02 AM,12.46,125.51,31,2.5,024  km N 71° E of Gamay (Northern Samar),January,2022
29 January 2022 - 02:48 AM-18.5100-120.9200-2.0,29 January 2022 - 02:48 AM,18.51,120.92,61,2.0,006  km N 21° E of Adams (Ilocos Norte),January,2022
29 January 2022 - 02:46 AM-4.9600-127.5300-3.4,29 January 2022 - 02:46 AM,4.96,127.53,169,3.4,234  km S 63° E of Jose Abad Santos (Davao Occidental),January,2022
29 January 2022 - 02:24 AM-6.9300-124.8300-2.4,29 January 2022 - 02:24 AM,6.93,124.83,24,2.4,012  km N 26° W of Tulunan (Cotabato),January,2022
29 January 2022 - 02:17 AM-6.7000-125.1200-2.1,29 January 2022 - 02:17 AM,6.7,125.12,12,2.1,017  km N 59° W of Kiblawan (Davao Del Sur),January,2022
29 January 2022 - 02:01 AM-13.7100-120.6000-1.9,29 January 2022 - 02:01 AM,13.71,120.6,88,1.9,014  km S 14° W of Calatagan (Batangas),January,2022
28 January 2022 - 11:01 PM-6.0100-123.7500-2.3,28 January 2022 - 11:01 PM,6.01,123.75,33,2.3,053  km S 66° W of Palimbang (Sultan Kudarat),January,2022
28 January 2022 - 10:54 PM-13.8300-120.2900-2.8,28 January 2022 - 10:54 PM,13.83,120.29,49,2.8,013  km N 19° E of Looc (Occidental Mindoro),January,2022
28 January 2022 - 10:29 PM-2.6500-125.5300-4.4,28 January 2022 - 10:29 PM,2.65,125.53,97,4.4,306  km S 02° E of Balut Island (Municipality Of Sarangani) (Davao Occidental),January,2022
28 January 2022 - 10:16 PM-18.1100-122.2900-2.4,28 January 2022 - 10:16 PM,18.11,122.29,28,2.4,036  km S 61° E of Gonzaga (Cagayan),January,2022
28 January 2022 - 08:23 PM-13.7500-120.5900-2.0,28 January 2022 - 08:23 PM,13.75,120.59,115,2.0,010  km S 26° W of Calatagan (Batangas),January,2022
28 January 2022 - 08:12 PM-14.4600-122.9000-2.1,28 January 2022 - 08:12 PM,14.46,122.9,65,2.1,006  km S 74° W of Tinaga Island (Vinzons) (Camarines Norte),January,2022
